model,car_type,fuel_type,max_speed,mean_rating,min_rating,avg_destroy_degree,driver_accident_mean,driver_rating_mean,fix_count,total_work_duration,feature_min_max_diff,feature_start,feature_quant,target_class
Skoda Rapid,economy,petrol,158.0,4.57948275862069,0.1,3.2,17.390243902439025,8.114367816091955,35,1078,71.37299999999999,-4.215,37.13375,engine_check
Smart Coupe,economy,petrol,164.0,4.6533908045977,0.1,2.7485714285714287,17.417391304347827,8.14080459770115,35,863,51.17,26.638,18.122500000000002,engine_check
VW Tiguan,economy,petrol,126.51942289744318,4.642126436781609,0.13,3.3485714285714288,16.81512605042017,8.035632183908046,35,912,8.001,-0.0,-0.001,wheel_shake
VW Tiguan,economy,petrol,165.91195642713998,4.031896551724138,0.1,3.597142857142857,16.876033057851238,8.074137931034484,35,924,40.704,2.625,28.967750000000002,engine_fuel
Skoda Rapid,economy,petrol,209.98283950882248,4.285747126436782,0.0,3.051428571428571,7.166666666666667,8.017241379310345,35,992,72.952,1.954,-1.41975,electro_bug
Smart ForTwo,economy,petrol,101.83942030119768,4.387931034482759,0.1,4.094285714285714,9.045977011494253,7.840229885057472,35,1023,55.623000000000005,-26.717,5.4015,gear_stick
Smart ForTwo,economy,petrol,161.08277896296124,3.85867816091954,0.1,3.717142857142857,18.08,8.032183908045976,35,1059,53.992,-0.678,28.6695,engine_fuel
Kia Rio X,economy,petrol,120.02441407681069,4.456436781609195,0.1,4.388571428571429,9.491329479768787,7.829885057471265,35,1062,67.19800000000001,-5.655,1.68775,gear_stick
Mercedes-Benz E200,business,petrol,175.24442527517795,4.447126436781609,0.1,3.8485714285714283,9.739884393063583,8.086206896551724,35,894,49.550000000000004,36.509,39.804249999999996,engine_overheat
Nissan Qashqai,standart,petrol,181.59713594116903,3.897471264367816,0.1,3.68,8.313953488372093,7.787931034482758,35,984,32.201,-3.476,19.103749999999998,engine_overheat
Smart ForTwo,economy,petrol,186.1179531519749,4.130114942528736,0.1,4.731428571428571,9.264367816091953,7.908620689655172,35,863,15.809,0.0,-0.0,engine_overheat
Renault Kaptur,standart,petrol,156.0,4.571494252873563,0.1,3.1457142857142855,18.204918032786885,8.059770114942529,35,1023,60.995,57.044,38.389250000000004,engine_check
Mini Cooper,business,petrol,195.2360632275796,4.074942528735632,0.1,3.0885714285714285,7.390804597701149,8.017816091954023,35,912,49.313,2.711,39.61875,engine_ignition
Kia Sportage,standart,petrol,112.2626779670123,5.331206896551724,0.33,3.6885714285714286,6.9655172413793105,7.998850574712644,35,859,29.011,-1.831,1.174,break_bug
Kia Rio,economy,petrol,177.13405127768635,4.217011494252874,0.1,3.748571428571428,9.275862068965518,7.8356321839080465,35,876,66.26,1.54,39.34925,engine_overheat
Nissan Qashqai,standart,petrol,197.5346514078148,4.1498275862068965,0.1,4.694285714285715,8.948275862068966,7.8373563218390805,35,956,46.117,0.799,-3.8914999999999997,engine_overheat
VW Tiguan,economy,petrol,183.49692933404805,4.067528735632184,0.1,2.3342857142857145,6.982758620689655,7.9672413793103445,35,936,14.961,-0.0,0.001,engine_ignition
Renault Sandero,standart,petrol,185.33961233674796,3.916206896551724,0.0,3.237142857142857,7.689655172413793,8.020689655172413,35,857,47.084,-2.48,-6.17775,electro_bug
Hyundai Solaris,economy,petrol,101.33342383388566,4.660172413793103,0.1,3.237142857142857,9.44767441860465,7.80632183908046,35,927,30.027,-18.431,4.576,gear_stick
Kia Rio X,economy,petrol,172.0510387003145,4.278965517241379,0.0,2.6228571428571428,8.454022988505747,8.030459770114943,35,829,38.838,-22.956,-6.42925,electro_bug
Smart ForTwo,economy,petrol,110.02402089612136,4.508448275862069,0.1,3.4657142857142857,9.098265895953757,7.852298850574712,35,985,62.667,-8.607,1.9000000000000001,gear_stick
Smart ForTwo,economy,petrol,193.7127461972635,3.9448275862068964,0.1,4.191428571428571,9.248554913294798,7.850574712643678,35,921,25.268,7.805,4.46425,engine_overheat
VW Polo VI,economy,petrol,192.4459711469768,4.046149425287356,0.1,2.8,9.114942528735632,7.749425287356322,35,917,62.146,16.651,11.935749999999999,engine_overheat
Skoda Rapid,economy,petrol,169.08232539229763,4.67183908045977,0.1,3.8,15.263565891472869,8.063218390804598,35,848,42.388999999999996,-7.59,5.052,another_bug
VW Polo VI,economy,petrol,122.63770448111772,5.319080459770115,0.36,3.105714285714286,7.517241379310345,8.020114942528735,35,919,29.014,-3.361,0.642,break_bug
Hyundai Solaris,economy,petrol,113.61741681708182,5.414597701149425,0.45,3.9,6.890804597701149,8.00919540229885,35,883,29.023,-14.538,2.472,break_bug
Renault Kaptur,standart,petrol,189.4908427961317,4.275977011494253,0.1,4.645714285714286,9.815028901734104,7.9126436781609195,35,946,57.989000000000004,5.196,29.646,engine_overheat
Kia Sportage,standart,petrol,181.5948050220017,4.044310344827586,0.1,2.7399999999999998,8.982558139534884,7.855747126436782,35,919,76.916,45.059,64.0835,engine_overheat
Kia Rio X,economy,petrol,200.0,4.767241379310345,0.94,3.2142857142857144,13.945736434108527,8.083333333333334,35,942,9.002,0.0,0.001,another_bug
VW Tiguan,economy,petrol,168.47728484452395,3.9442528735632183,0.1,3.765714285714286,16.388429752066116,8.047126436781609,35,817,14.79,0.0,-0.0,engine_fuel
Kia Rio X,economy,petrol,199.4113740601043,3.995,0.1,3.3457142857142856,9.46551724137931,7.8999999999999995,35,819,41.389,14.935,25.61,engine_overheat
Nissan Qashqai,standart,petrol,185.27939214918771,3.9639655172413795,0.1,2.8885714285714283,6.655172413793103,7.91551724137931,35,975,67.166,2.787,25.23775,engine_ignition
Hyundai Solaris,economy,petrol,177.0,4.627988505747126,0.12,3.505714285714286,17.70175438596491,8.063218390804598,35,1064,98.40299999999999,3.05,-22.52875,another_bug
VW Tiguan,economy,petrol,124.25252355038036,4.63,0.1,2.782857142857143,15.042372881355933,8.068965517241379,35,853,48.327,-4.167,35.434749999999994,wheel_shake
Skoda Rapid,economy,petrol,197.01095885357128,3.9722988505747123,0.1,4.722857142857143,9.167630057803468,7.856896551724137,35,1033,15.979,-0.0,0.001,engine_overheat
Kia Rio,economy,petrol,176.29222859928723,4.1194252873563215,0.0,3.617142857142857,7.574712643678161,7.9798850574712645,35,802,57.574,2.554,6.57625,electro_bug
Kia Rio X,economy,petrol,191.08848264225156,4.167356321839081,0.1,3.125714285714286,7.068965517241379,7.969540229885058,35,779,49.232,-3.828,13.2415,engine_ignition
Skoda Rapid,economy,petrol,188.9783976993745,4.655459770114942,0.0,4.334285714285714,6.839080459770115,7.975287356321839,35,914,10.024999999999999,0.0,0.034,electro_bug
Smart ForFour,economy,petrol,198.48929834405112,4.099540229885058,0.1,4.051428571428572,10.431034482758621,7.893103448275863,35,918,61.527,2.251,-2.98975,engine_overheat
Renault Kaptur,standart,petrol,174.22778926826246,4.839252873563218,0.21,3.5,11.383928571428571,8.101149425287355,35,1002,45.727999999999994,6.186,6.759,another_bug
Kia Rio X,economy,petrol,173.3784470017017,4.926149425287356,0.0,3.2114285714285717,7.954022988505747,8.079885057471264,35,914,51.409,-9.803,-8.46,electro_bug
Renault Kaptur,standart,petrol,106.10855165450626,4.51735632183908,0.1,3.9542857142857146,8.884393063583815,7.775287356321839,35,855,64.181,-5.416,-19.82625,gear_stick
Skoda Rapid,economy,petrol,188.93888746580387,3.8498275862068967,0.1,3.0771428571428574,7.977011494252873,8.073563218390804,35,1025,51.518,-1.355,25.9265,engine_ignition
Hyundai Solaris,economy,petrol,190.0,4.567528735632184,0.1,3.3028571428571425,16.897435897435898,8.091954022988507,35,808,3.001,0.0,-0.0,another_bug
VW Polo,economy,petrol,176.41196496069557,4.005057471264368,0.1,4.445714285714286,20.43548387096774,8.120689655172415,35,949,55.815,4.825,4.0485,engine_fuel
Kia Rio X,economy,petrol,182.81232444321336,3.967126436781609,0.1,3.6885714285714286,9.64367816091954,7.892528735632184,35,907,13.43,0.0,-0.001,engine_overheat
Renault Sandero,standart,petrol,177.16996506616007,4.11235632183908,0.1,3.1,16.26271186440678,8.067241379310346,35,906,62.209999999999994,1.701,46.919000000000004,engine_fuel
Renault Sandero,standart,petrol,123.619141685415,5.20448275862069,0.1,4.414285714285715,7.666666666666667,8.047701149425286,35,936,78.782,-0.892,-15.65,break_bug
Kia Sportage,standart,petrol,106.6379771119483,5.402298850574713,0.85,4.114285714285714,7.17816091954023,7.985057471264368,35,1023,29.009,-10.168,1.83875,break_bug
Nissan Qashqai,standart,petrol,181.0461654805773,4.254425287356321,0.1,3.3971428571428572,9.601156069364162,7.83448275862069,35,842,45.298,32.36,23.36075,engine_overheat
Kia Rio X,economy,petrol,182.2791399577897,4.097758620689655,0.1,4.268571428571429,8.942196531791907,7.913218390804598,35,780,50.958,0.666,-5.692,engine_overheat
Smart ForTwo,economy,petrol,184.88662278210808,4.256264367816092,0.0,3.142857142857143,6.977011494252873,7.931609195402299,35,876,77.251,-0.134,8.32475,electro_bug
VW Polo VI,economy,petrol,179.75906074515763,3.985344827586207,0.1,3.8314285714285714,15.912280701754385,8.159770114942528,35,876,74.463,-0.308,29.1405,engine_fuel
Smart Coupe,economy,petrol,196.6015272676526,4.856896551724138,0.22,3.5142857142857142,13.98165137614679,8.132758620689655,35,892,8.0,-0.0,-0.0,another_bug
VW Polo,economy,petrol,198.5944433202849,4.346206896551724,0.0,4.002857142857143,8.005747126436782,7.991954022988505,35,859,51.402,0.635,13.70875,electro_bug
Smart ForTwo,economy,petrol,181.0690689368081,4.795919540229885,0.1,3.76,18.871794871794872,8.148275862068965,35,1094,53.599,4.11,29.4685,another_bug
Volkswagen ID.4 ,premium,electro,171.0,4.793275862068965,0.1,3.877142857142857,22.02912621359223,9.22528735632184,35,1043,69.154,1.369,35.071,another_bug
Kia Sportage,standart,petrol,191.02478969031603,3.9530459770114943,0.1,3.222857142857143,6.5344827586206895,7.929885057471264,35,1007,42.254000000000005,-2.312,25.7115,engine_ignition
VW Polo,economy,petrol,119.0,4.567471264367816,0.1,3.442857142857143,14.860655737704919,8.068390804597701,35,849,16.5,0.0,0.0,wheel_shake
Kia Sportage,standart,petrol,191.9809966070908,4.288045977011494,0.1,2.1685714285714286,7.057471264367816,7.922988505747126,35,845,15.301,0.0,0.0,engine_ignition
Hyundai Solaris,economy,petrol,136.88354743464512,5.322011494252873,0.1,2.9228571428571426,7.339080459770115,7.859195402298851,35,797,87.49499999999999,-0.783,-11.69675,break_bug
Kia Rio,economy,petrol,105.05018426587966,4.392011494252873,0.1,3.337142857142857,8.491329479768787,7.842528735632183,35,856,64.304,-35.298,-15.498,gear_stick
Smart ForTwo,economy,petrol,200.0,4.191091954022989,0.0,3.3400000000000003,7.442528735632184,7.959195402298851,35,864,40.731,7.337,19.097499999999997,electro_bug
Hyundai Solaris,economy,petrol,191.66632929664712,4.2748850574712645,0.1,2.8400000000000003,8.982758620689655,7.741379310344827,35,861,46.742000000000004,1.528,12.42375,engine_overheat
Smart ForTwo,economy,petrol,146.07247806839624,4.6451149425287355,0.26,3.58,18.39090909090909,8.183333333333334,35,880,47.534,13.178,9.589,wheel_shake
Kia Rio X-line,economy,petrol,180.94447330813827,4.294655172413793,0.0,3.517142857142857,7.942528735632184,7.970689655172414,35,979,64.842,-3.276,-18.62275,electro_bug
VW Tiguan,economy,petrol,137.91845786696285,4.669022988505747,0.1,3.1942857142857144,15.11111111111111,8.128735632183908,35,830,87.32600000000001,6.239,-2.4745,wheel_shake
Hyundai Solaris,economy,petrol,173.0,4.761091954022988,0.65,3.237142857142857,16.511627906976745,8.176436781609196,35,822,46.269000000000005,0.016,7.3635,another_bug
Kia Rio,economy,petrol,131.8727997742751,4.368850574712644,0.1,3.1599999999999997,15.786324786324787,8.086781609195402,35,877,41.679,3.897,15.69575,wheel_shake
Skoda Rapid,economy,petrol,199.88926587922344,4.341034482758621,0.1,3.0914285714285716,9.705202312138729,7.899425287356322,35,770,14.28,-0.0,-0.00125,engine_overheat
VW Polo VI,economy,petrol,99.40808742247174,4.56867816091954,0.1,3.325714285714286,8.751445086705202,7.735057471264368,35,1034,35.013,4.272,4.271,gear_stick
Mini Cooper,business,petrol,182.4054623537517,4.371149425287356,0.1,3.1028571428571428,9.327586206896552,7.887931034482759,35,963,38.143,6.417,0.6950000000000001,engine_overheat
Renault Sandero,standart,petrol,167.53882607433934,4.122413793103448,0.1,4.4,14.543859649122806,8.112068965517242,35,914,75.488,1.436,9.048749999999998,engine_fuel
Skoda Rapid,economy,petrol,176.98447366780988,3.9251149425287357,0.1,4.088571428571428,18.446428571428573,8.070689655172414,35,916,73.897,0.854,41.86325,engine_fuel
Smart Coupe,economy,petrol,164.44147310022723,4.347413793103448,0.1,2.7885714285714287,16.10924369747899,8.037931034482758,35,1003,38.599,-2.712,15.6195,engine_fuel
Kia Rio X,economy,petrol,179.7583006041497,4.60896551724138,0.1,2.857142857142857,15.442622950819672,8.064942528735632,35,866,77.098,-3.213,13.146,engine_check
Hyundai Solaris,economy,petrol,179.61804476901682,4.110114942528735,0.1,3.4657142857142857,16.852459016393443,8.11551724137931,35,965,48.982,-2.577,31.28,engine_fuel
VW Polo VI,economy,petrol,119.0,4.780919540229885,0.14,3.3200000000000003,13.481818181818182,8.083908045977012,35,957,56.260000000000005,0.879,14.0855,wheel_shake
Kia Rio,economy,petrol,182.0,3.9791954022988505,0.1,4.454285714285715,8.60344827586207,7.808045977011494,35,834,30.135,10.991,10.3565,engine_overheat
Smart ForFour,economy,petrol,165.41888157592098,4.32867816091954,0.1,3.431428571428571,7.416184971098266,7.991954022988505,35,957,44.632,0.281,20.926499999999997,engine_ignition
Kia Rio,economy,petrol,200.0,4.202931034482758,0.0,4.168571428571429,6.747126436781609,7.961494252873563,35,911,51.918,4.87,11.78475,electro_bug
Kia Rio X,economy,petrol,128.6081739429445,4.670574712643678,0.1,3.4571428571428573,15.491379310344827,8.09655172413793,35,917,44.338,-1.896,-2.8515,wheel_shake
Kia Rio X,economy,petrol,155.0373454944734,4.378218390804597,0.1,3.0142857142857142,17.251968503937007,8.066091954022989,35,929,57.219,-1.968,2.9052499999999997,engine_fuel
Smart ForFour,economy,petrol,183.0,4.938505747126436,0.1,3.6485714285714286,15.73873873873874,8.191379310344827,35,918,59.09,1.36,-1.05675,another_bug
VW Polo,economy,petrol,184.05052424110104,4.042643678160919,0.1,3.1714285714285713,14.836065573770492,8.086781609195402,35,987,69.726,2.923,45.8375,engine_fuel
Smart ForFour,economy,petrol,192.0,4.6819540229885055,0.1,3.5742857142857143,15.657657657657658,8.070689655172414,35,905,45.330999999999996,5.921,21.744500000000002,another_bug
Tesla Model 3,premium,electro,195.2439613171936,4.648448275862069,0.1,3.56,20.782258064516128,9.245977011494253,35,858,51.962,1.749,5.182,another_bug
Smart ForTwo,economy,petrol,177.03417210125264,4.3372988505747125,0.1,2.9057142857142857,15.226086956521739,8.077011494252874,35,991,52.401,32.971,20.44275,engine_check
Kia Sportage,standart,petrol,187.0,3.7486206896551724,0.1,2.934285714285714,7.271676300578035,7.929885057471264,35,865,36.149,-0.859,7.079,engine_ignition
Smart ForTwo,economy,petrol,162.29877905302413,4.267988505747127,0.1,3.2314285714285713,17.67479674796748,8.058045977011494,35,983,59.61,2.553,23.0685,engine_fuel
Hyundai Solaris,economy,petrol,113.68580195567236,5.328390804597701,0.1,3.6114285714285717,6.839080459770115,7.97183908045977,35,863,91.73100000000001,-76.196,-29.386249999999997,break_bug
Fiat 500,business,petrol,159.69889100318608,4.450114942528736,0.1,2.982857142857143,18.512396694214875,8.149425287356323,35,965,17.5,0.0,0.0,engine_check
Renault Sandero,standart,petrol,190.9486179582776,4.129540229885057,0.1,3.4542857142857146,9.46551724137931,7.8597701149425285,35,955,36.643,28.247,26.17125,engine_overheat
Hyundai Solaris,economy,petrol,185.50880081960668,4.10551724137931,0.1,3.3457142857142856,9.21264367816092,7.905172413793103,35,932,24.758,9.391,8.034,engine_overheat
Kia Rio X,economy,petrol,194.0,4.804022988505747,0.33,3.1114285714285717,14.680327868852459,8.051724137931034,35,823,6.002,0.0,0.001,another_bug
VW Polo,economy,petrol,159.72187442931693,4.152873563218391,0.1,3.7628571428571425,15.108333333333333,8.100574712643677,35,1008,84.222,3.01,70.86075000000001,engine_fuel
Smart ForTwo,economy,petrol,191.4318597471467,3.9685057471264367,0.1,3.54,7.190751445086705,7.994827586206896,35,746,13.09,0.0,-0.001,engine_ignition
Smart ForFour,economy,petrol,196.0,4.886264367816092,0.1,3.3514285714285714,15.252032520325203,8.104022988505747,35,989,70.777,6.736,17.19375,another_bug
Kia Rio X,economy,petrol,126.00949600809513,4.6994252873563225,0.1,4.208571428571429,16.936,8.094827586206897,35,940,12.197999999999999,-0.0,0.001,wheel_shake
Kia Rio X-line,economy,petrol,185.32600924547597,4.107126436781609,0.1,2.894285714285714,7.402298850574713,8.027586206896551,35,929,51.593,-0.478,24.292749999999998,engine_ignition
Skoda Rapid,economy,petrol,109.9067149081344,5.354770114942529,0.1,3.931428571428571,7.22543352601156,8.01206896551724,35,883,87.93299999999999,-0.497,5.3085,break_bug
Kia Sportage,standart,petrol,193.3685732877934,3.842068965517241,0.1,3.557142857142857,16.14406779661017,8.11609195402299,35,940,46.533,0.862,21.926250000000003,engine_fuel
Renault Sandero,standart,petrol,173.04906333826102,4.267183908045977,0.1,2.6714285714285713,7.329479768786127,7.9655172413793105,35,952,32.858000000000004,-2.694,6.9795,engine_ignition
VW Tiguan,economy,petrol,173.46117014572314,4.410057471264368,0.1,3.9542857142857146,8.597701149425287,7.854022988505746,35,986,29.521,9.395,3.0707500000000003,engine_overheat
Kia Rio,economy,petrol,196.04508171389597,4.748850574712644,0.1,4.225714285714286,15.78225806451613,8.074712643678161,35,975,47.888,5.866,29.81225,another_bug
Smart ForFour,economy,petrol,200.0,4.436149425287356,0.1,3.6599999999999997,16.168316831683168,8.136206896551725,35,956,10.001,-3.0,-0.0,another_bug
VW Polo VI,economy,petrol,189.8047665509525,4.068620689655172,0.1,3.08,8.241379310344827,8.102873563218392,35,760,54.396,-2.863,38.64725,engine_ignition
Kia Rio X-line,economy,petrol,126.61832377854712,5.39235632183908,1.22,4.868571428571428,7.488505747126437,8.122413793103448,35,860,29.01,3.995,3.996,break_bug
Nissan Qashqai,standart,petrol,194.8169460268608,4.244712643678161,0.1,3.0771428571428574,7.385057471264368,7.9781609195402305,35,932,35.015,0.213,-0.3625,engine_ignition
Kia Sportage,standart,petrol,182.0445787879931,4.208390804597701,0.1,2.8457142857142856,7.189655172413793,7.958620689655172,35,820,47.433,-1.644,15.356250000000001,engine_ignition
VW Polo,economy,petrol,136.63040685162372,4.446551724137931,0.1,4.448571428571428,15.530434782608696,8.159770114942528,35,1001,42.616,22.929,25.833750000000002,wheel_shake
Kia Sportage,standart,petrol,179.0,4.258965517241379,0.0,3.9,8.25287356321839,8.059195402298851,35,855,49.403000000000006,-7.23,1.85775,electro_bug
Smart ForFour,economy,petrol,180.25959685932625,4.119195402298851,0.1,2.9971428571428573,7.959537572254336,8.061494252873564,35,841,63.20100000000001,0.842,26.066,engine_ignition
Smart ForFour,economy,petrol,120.08519408646436,5.636091954022988,0.1,4.394285714285715,7.7298850574712645,8.037931034482758,35,1033,65.098,-29.913,-1.62125,break_bug
Smart ForFour,economy,petrol,185.30720473884284,3.9786206896551723,0.1,2.7,7.689655172413793,7.970114942528736,35,964,46.38,-2.087,2.661,engine_ignition
Smart ForFour,economy,petrol,102.5502181006026,4.374367816091954,0.15,3.52,9.208092485549132,7.80632183908046,35,926,109.65799999999999,-34.498,-11.657499999999999,gear_stick
VW Polo,economy,petrol,161.3040638815686,4.671551724137931,0.79,3.1714285714285713,17.776,8.108045977011495,35,960,60.5,5.108,5.09075,engine_check
VW Polo,economy,petrol,160.0,4.606034482758621,0.1,2.5771428571428574,17.344,8.188505747126436,35,889,63.934,0.371,4.872,engine_check
Kia Sportage,standart,petrol,176.2560884982147,4.069367816091955,0.0,3.337142857142857,8.32183908045977,8.060919540229884,35,809,43.659000000000006,-6.944,-4.07175,electro_bug
Kia Sportage,standart,petrol,110.32876720748573,4.5297701149425285,0.1,3.9199999999999995,9.39080459770115,7.772413793103449,35,869,55.84,-30.242,2.57275,gear_stick
Renault Sandero,standart,petrol,166.79793971734432,4.527126436781609,0.1,3.1142857142857143,16.695652173913043,8.094252873563219,35,976,46.783,18.92,20.27975,engine_check
VW Polo,economy,petrol,189.99768465057588,4.075057471264367,0.1,3.0,10.011695906432749,7.909770114942528,35,888,24.607,6.383,2.9515000000000002,engine_overheat
Skoda Rapid,economy,petrol,115.0,4.68867816091954,0.1,2.9857142857142858,18.40650406504065,7.9689655172413785,35,817,49.812,7.004,-3.56875,wheel_shake
Skoda Rapid,economy,petrol,173.46929074424847,4.09028735632184,0.1,3.2857142857142856,7.977011494252873,8.036781609195403,35,1187,14.620000000000001,0.0,0.0,engine_ignition
Kia Rio X-line,economy,petrol,149.3680569656025,4.206264367816092,0.1,2.6885714285714286,14.481818181818182,8.079885057471264,35,844,60.962,0.971,21.401,engine_fuel
Mercedes-Benz GLC,business,petrol,176.0704027710107,3.9744252873563215,0.1,3.702857142857143,16.292035398230087,8.560919540229884,35,941,35.311,1.04,12.50075,engine_fuel
VW Tiguan,economy,petrol,167.51723312036128,4.050114942528736,0.1,2.48,7.431034482758621,7.941379310344828,35,1000,45.918,-1.129,4.8545,engine_ignition
Kia Sportage,standart,petrol,156.0,4.630862068965517,0.1,3.1599999999999997,12.991596638655462,8.157471264367816,35,801,75.512,2.512,11.72575,engine_check
Kia Rio X-line,economy,petrol,195.2861626427412,4.107586206896552,0.0,3.6457142857142855,7.310344827586207,7.960919540229885,35,903,61.343999999999994,0.003,5.675,electro_bug
Nissan Qashqai,standart,petrol,175.61102217329213,3.9549999999999996,0.1,4.177142857142857,15.893805309734514,8.16896551724138,35,1203,53.559,1.784,24.6495,engine_fuel
Kia Rio X-line,economy,petrol,112.35296240295077,4.432183908045977,0.61,3.1485714285714286,9.517441860465116,7.789080459770115,35,930,68.191,-12.987,9.52375,gear_stick
Renault Kaptur,standart,petrol,111.80345313624804,5.197068965517241,0.1,3.362857142857143,7.528735632183908,8.010344827586207,35,948,29.021,3.263,3.26,break_bug
VW Tiguan,economy,petrol,187.92088758471965,4.254080459770115,0.1,3.5714285714285716,9.289017341040463,7.862068965517241,35,950,35.594,17.4,20.546,engine_overheat
BMW 320i,business,petrol,158.50322429837283,4.675919540229885,0.1,2.98,18.5982905982906,8.033908045977013,35,886,54.132,-0.028,31.3325,engine_check
Renault Sandero,standart,petrol,195.18456912262545,4.094252873563218,0.1,4.102857142857142,9.201149425287356,7.885057471264368,35,785,14.110999999999999,-0.0,0.00075,engine_overheat
Audi A4,premium,petrol,108.51946819318027,4.557873563218391,0.1,3.531428571428571,9.316091954022989,7.9270114942528735,35,985,117.937,0.289,-42.70325,gear_stick
Kia Sportage,standart,petrol,167.23283788179316,4.8612068965517246,0.1,3.417142857142857,16.43076923076923,8.065517241379311,35,968,50.31,-9.685,0.6252500000000001,another_bug
Kia Rio X,economy,petrol,194.5313150545371,4.150977011494253,0.1,2.842857142857143,7.316091954022989,7.933908045977011,35,855,13.94,-0.0,-0.0,engine_ignition
Nissan Qashqai,standart,petrol,193.5739295092904,4.157413793103448,0.1,2.677142857142857,7.7298850574712645,8.059770114942529,35,869,71.431,-1.002,-10.1885,engine_ignition
VW Polo,economy,petrol,101.74359099449605,4.523103448275862,0.1,4.34,9.0,7.76264367816092,35,960,10.899999999999999,0.0,0.0,gear_stick
Nissan Qashqai,standart,petrol,195.8715085366833,4.175689655172414,0.1,4.134285714285714,9.341040462427745,7.836206896551724,35,1021,47.913000000000004,-2.643,15.180250000000001,engine_overheat
VW Tiguan,economy,petrol,174.15821427344915,4.169942528735633,0.1,3.065714285714286,9.36046511627907,7.792528735632184,35,847,39.568,17.282,8.90825,engine_overheat
Audi Q3,premium,petrol,185.08461278706253,4.105919540229885,0.0,3.817142857142857,7.074712643678161,8.036206896551723,35,803,42.098,0.078,4.2612499999999995,electro_bug
Kia Rio X,economy,petrol,103.72493460170924,5.449022988505747,0.58,3.7800000000000002,7.080459770114943,7.967816091954023,35,841,29.011,2.677,2.67475,break_bug
Kia Rio X-line,economy,petrol,199.89739857965424,4.274597701149425,0.0,3.7371428571428575,7.867052023121388,7.995402298850575,35,866,75.218,-1.742,-10.39,electro_bug
Smart Coupe,economy,petrol,158.97588577793218,4.092586206896552,0.0,4.0,7.189655172413793,8.02816091954023,35,871,57.929,-25.991,4.0985,electro_bug
Kia Rio,economy,petrol,163.85365932663854,4.35183908045977,0.23,2.8314285714285714,16.054545454545455,8.097701149425287,35,884,72.296,1.589,-0.90425,engine_check
VW Tiguan,economy,petrol,153.0,4.516091954022988,0.1,2.3342857142857145,16.267857142857142,8.158045977011493,35,896,50.468999999999994,32.504,18.9825,engine_check
Hyundai Solaris,economy,petrol,112.95927324568466,5.433448275862069,0.5,3.6885714285714286,7.114942528735632,8.044252873563218,35,875,65.035,-20.596,10.1235,break_bug
VW Tiguan,economy,petrol,102.91040144607732,4.344080459770115,0.1,3.2685714285714287,8.591954022988507,7.763218390804598,35,975,29.015,-8.381,1.618,gear_stick
Skoda Rapid,economy,petrol,180.9163530193012,3.9597701149425286,0.1,2.92,6.844827586206897,7.960919540229885,35,850,51.028,-0.989,1.30775,engine_ignition
